SMILES,alpha
Cc1cc(F)ccc1NCc1cc(C(=O)NCCO)cc(NCCO)n1,0
Cc1cc(F)ccc1NCc1cc(C(=O)N2CCC(O)C2)cc(N2CCC(O)C2)n1,0
O=C(O)c1ccnc(N2CCOCC2)c1,0
CCOC(=O)c1ccnc(N2CCOCC2)c1,0
CCN1CCN(CC/C=C/c2ccc3c(Nc4ccc(Sc5nccn5C)c(Cl)c4)c(C#N)cnc3c2)CC1,0
CC1(C)CNC(=O)c2sc(N3CCOC[C@@H]3Cc3c[nH]c4ccccc34)nc2C1,1
CC1(C)CC(=O)c2sc(N3CCOCC3)nc2C1,0
CC1(C)CC(=O)c2sc(N3CCOC[C@@H]3Cc3csc4ccccc34)nc2C1,1
CC1(C)CC(=O)c2sc(N3CCOCC3Cc3c[nH]c4ncccc34)nc2C1,1
CC1(C)CC(=O)c2sc(N3CCOC[C@@H]3Cc3c[nH]c4ccccc34)nc2C1,1
CC1(C)CC(=O)c2sc(N3CCOC[C@H]3Cc3c[nH]c4ccccc34)nc2C1,0
CC1(C)CC(=O)c2sc(N3CCOCC3Cc3ccc4ccccc4c3)nc2C1,0
CC1(C)CC(=O)c2sc(N3CCOCC3Cc3cccc4ccccc34)nc2C1,1
CC1(C)CC(=O)c2sc(N3CCOC[C@@H]3Cc3ccccc3)nc2C1,1
CC1(C)CC(=O)c2sc(N3CCOC[C@H]3Cc3ccccc3)nc2C1,0
CC1(C)CC(=O)c2sc(N3CCOC[C@@H]3c3ccccc3)nc2C1,0
CC1(C)CC(=O)c2sc(N3CCOC[C@H]3c3ccccc3)nc2C1,0
CC1(C)CC(=O)c2sc(-c3ccncc3)nc2C1,0
COCCNc1nc2c(s1)C(=O)CC(C)(C)C2,0
CC1(C)CC(=O)c2sc(N3CCCCC3)nc2C1,0
O=C1CC2(CCCCC2)Cc2nc(N3CCOCC3)sc21,0
O=C1CC2(CCCC2)Cc2nc(N3CCOCC3)sc21,0
O=C1CCCc2nc(N3CCOCC3)sc21,0
O=C1CC(c2ccccc2)Cc2nc(N3CCOCC3)sc21,0
CCCC1CC(=O)c2sc(N3CCOCC3)nc2C1,0
CC1CC(=O)c2sc(N3CCOCC3)nc2C1,0
COC[C@H]1OC(=O)/C(=C\NCCCCC(NC(C)=O)C(=O)O)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)C(=O)CC[C@@H]34)[C@]21C,0
COC[C@H]1OC(=O)/C(=C\NCCCCC(=O)O)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)C(=O)CC[C@@H]34)[C@]21C,0
COC[C@H]1OC(=O)/C(=C\N2CCCC2C(=O)O)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)C(=O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)/C(=C\N(C)CCCCCC(=O)O)C2=C(O)C(=O)C3=C([C@H](OC(=O)CCCCN(C)c4ccc([N+](=O)[O-])c5nonc45)C[C@]4(C)C(=O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)/C(=C\N(C)CCCCCC(=O)O)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)C(=O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)/C(=C\N(C)c2ccncc2)C2=C(O)C(=O)C3=C([C@H](OC(=O)CCCCN(C)c4ccc([N+](=O)[O-])c5nonc45)C[C@]4(C)C(=O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)/C(=C\N(C)c2ccncc2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)C(=O)CC[C@@H]34)[C@]21C,1
COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(=O)CCCCN(C)c1ccc([N+](=O)[O-])c2nonc12,1
COC[C@H]1OC(=O)/C(=C\NCCCCCC(=O)O)C2=C(O)C(=O)C3=C([C@H](OC(=O)CCCCN(C)c4ccc([N+](=O)[O-])c5nonc45)C[C@]4(C)C(=O)CC[C@@H]34)[C@]21C,0
CC1(C)CC(=O)c2sc(N3CCOc4ccc(-c5ccccc5)cc43)nc2C1,0
CC1(C)CC(=O)c2sc(N3CCOc4ccc(Br)cc43)nc2C1,0
CC1(C)Cc2nc(N3CCOc4ccc(Br)cc43)sc2C(=O)N1,0
Cc1ccc2c(c1)N(c1nc3c(s1)C(=O)NC(C)(C)C3)CCO2,0
