SMILES,alpha,beta,delta,gamma
CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(-c3cnn(CCO)c3)ccc1-2,1,1,1,1
Cc1nc2c(-c3cnc[nH]3)cc(N3CCOCC3)nn2c1Nc1cccc(C(F)(F)F)c1CN1CC(O)C1,1,1,1,1
CNC(=O)c1nc(-c2ccc(F)c(S(=O)(=O)Nc3ccccc3)c2)cnc1N,1,0,0,1
CC1(C)CC(=O)c2sc(N3CCOc4ccc(-c5cccnc5)cc43)nc2C1,1,1,1,1
CC(C)(C)NS(=O)(=O)c1cncc(-c2cn3nc(N)nc3cc2F)c1,0,0,0,0
Cc1nc(N)nc(-c2cc(Cl)cnc2Nc2cnc(Cl)c(NS(=O)(=O)N(C)C)c2)n1,1,1,1,1
Nc1nc2ccc(-c3ccc(OCCO)nc3)cc2s1,0,0,0,0
Cc1nc2c(N)cc(N3CCOCC3)nn2c1Nc1cccc(C(F)(F)F)c1CN1CCN(C)CC1,0,1,1,0
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,0,0,0,0
COc1ccc(Nc2ncc(CO)cc2-c2nc(C)nc(N)n2)cn1,1,1,1,1
CN(C1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)CC1)S(C)(=O)=O,1,1,1,1
Cc1nc(N)nc(-n2c(Nc3n[nH]c4ccccc34)nc3ccccc32)n1,1,1,1,1
Cc1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,1,1,1,0
C[C@H](Nc1ncnc(N)c1C#Cc1ccccc1)c1nc2cccc(F)c2c(=O)n1-c1cccc(C#N)c1,1,1,1,1
Cc1ccc(S(=O)(=O)n2cc3c(=O)oc4ccccc4c3n2)cc1,0,0,0,0
CCOC(=O)c1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1,1,0,1,0
C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N(C)C)cc(CN4CCOc5c(F)cc(F)cc54)c3o2)CCO1,1,1,1,1
COc1ccc(Nc2nccnc2-c2cc(N)nc(C)n2)cn1,1,1,1,1
O=C1CC2(CCCC2)Cc2nc(N3CCOCC3)sc21,0,0,0,0
Cc1nc2c(N)cc(N3CCOCC3)nn2c1Nc1cccc(C(F)(F)F)c1CN1CC(O)C1,0,1,1,0
C[C@H](Nc1ncnc(N)c1C#Cc1ccccc1)c1nc2cccc(F)c2c(=O)n1-c1cccc(F)c1,1,1,1,1
Cc1cccc(C)c1-n1c(Cn2nc(-c3ccc4[nH]ccc4c3)c3c(N)ncnc32)nc2cccc(F)c2c1=O,0,0,1,1
COc1ccc(CNC(=O)Cc2nnc(-c3ccc4ncccc4c3)o2)cc1OC,0,0,0,0
Nc1ncnc2c1c(-c1ccc3cc[nH]c3c1)nn2C1CCCC1,0,0,1,0
Cc1cc(-c2ccc3c(c2)N(c2c(C)c(-c4ccccn4)nc4cc(F)ccc24)CC3(C)C)nc(N)n1,0,0,1,1
COc1ccc(-c2ccc3ncc4c(c3c2)n(-c2ccc(N3CCNCC3)c(C(F)(F)F)c2)c(=O)n4C)cn1,1,1,1,1
CC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,0,0,1,0
c1cc(N2CCOCC2)c2cn[nH]c2n1,0,0,0,0
C[C@@H](NC(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4CCOCC4)n3)cc2)cc1)C(N)=O,1,1,1,1
Cc1nc(NC(=O)N2CC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C)n1,1,0,1,1
CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(CNCCO)ccc1-2,1,1,1,1
Nc1ncnc2c1c(-c1ccc3[nH]ncc3c1)nn2C1CCCC1,1,0,1,1
O=c1c(F)c(N2CCOCC2)nc2n(Cc3cccc(Cl)c3Cl)ccn12,1,1,1,0
NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2c(Cl)cccc21,0,1,1,0
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c([S+]([O-])CCO)c1-c1ccccc1,1,1,1,1
Cc1c(Cc2c(CNCCS(C)(=O)=O)nc3c(N)cc(N4CCOCC4)nn23)cccc1C(F)(F)F,0,1,1,0
Cc1nn2c(N)cc(N3CCOCC3)nc2c1Cc1cccc(C(F)(F)F)c1C,0,0,1,0
Oc1cccc(-c2nc(N3CCOCC3)c3sc(CN4CC[C@H]5[C@@H](CCc6nnc(C(F)(F)F)n65)C4)cc3n2)c1,1,1,1,1
Cc1c(Cn2c(C3CC3)nn3c(=O)cc(N4CCOCC4)nc23)cccc1C(F)(F)F,0,1,1,0
CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)cc2)s1,1,0,1,1
C[C@H](Nc1nc(N)nc(N)c1C#N)c1nn(-c2cccnc2)c2cc(Cl)ccc12,1,1,1,1
Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,0,0,0,0
C[C@H](Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(C(=O)N2CCNCC2)c1-c1ccccc1,1,0,1,1
